time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,34.5,31.5,49.5,269.5,563.5,675.5,23.5,15.5,25.5,59.5,167.5,233.5,35.5,24.5,15.5,-1.5,-1.5,491.5,15.5,-9.5,15.5,14.5,27.5,35.5,23.5,75.5,204.5,486.5,786.5,902.5,14.5,15.5,14.5,11.5,24.5,31.5,40.5,1097.5,1748.5,2106.5,2226.5,2279.5,24.5,21.5,28.5,38.5,66.5,87.5,2250.5,2187.5,2048.5,1980.5,1948.5,1865.5,22.5,26.5,29.5,32.5,42.5,46.5,25.5,22.5,21.5,39.5,522.5,1032.5,20.5,27.5,26.5,28.5,46.5,49.5,26.5,1776.5,2094.5,2082.5,2014.5,2245.5,,,28.5,29.5,,,44.0,43.0,1162.0,1223.0
20,49.5,58.5,272.5,1020.5,1518.5,1638.5,24.5,30.5,58.5,224.5,490.5,598.5,41.5,36.5,23.5,-3.5,-1.5,847.5,26.5,-6.5,30.5,40.5,61.5,62.5,37.5,110.5,353.5,900.5,1444.5,1648.5,23.5,23.5,20.5,29.5,56.5,81.5,59.5,1812.5,2783.5,3255.5,3447.5,3528.5,33.5,28.5,38.5,74.5,144.5,180.5,3225.5,3153.5,3014.5,2910.5,2876.5,2749.5,39.5,41.5,39.5,52.5,84.5,79.5,37.5,35.5,25.5,72.5,944.5,1714.5,40.5,42.5,37.5,52.5,96.5,104.5,38.5,2783.5,3352.5,3290.5,3191.5,3558.5,,,41.5,38.5,,,63.0,62.0,1482.0,1581.0
40,71.5,958.5,2332.5,3511.5,3972.5,3859.5,48.5,178.5,733.5,1160.5,1467.5,1469.5,57.5,55.5,45.5,-1.5,11.5,1757.5,40.5,3.5,118.5,143.5,178.5,173.5,57.5,217.5,777.5,1721.5,2545.5,2792.5,36.5,52.5,181.5,262.5,370.5,381.5,112.5,3219.5,4364.5,5082.5,5294.5,5351.5,48.5,50.5,106.5,245.5,390.5,379.5,4427.5,4456.5,4345.5,4294.5,4216.5,4041.5,55.5,58.5,73.5,144.5,217.5,194.5,55.5,55.5,56.5,185.5,2113.5,3264.5,53.5,55.5,77.5,199.5,355.5,303.5,61.5,4572.5,5557.5,5372.5,5097.5,5670.5,,,69.5,65.5,,,82.5,88.5,2009.5,2135.5
60,100.5,4459.5,6702.5,7893.5,8091.5,7565.5,57.5,1031.5,2425.5,2845.5,2964.5,2742.5,79.5,68.5,51.5,-1.5,14.5,4242.5,56.5,6.5,445.5,457.5,452.5,355.5,70.5,338.5,1301.5,2876.5,4143.5,4480.5,56.5,337.5,1226.5,1365.5,1412.5,1248.5,203.5,5992.5,7533.5,8174.5,8275.5,8210.5,48.5,116.5,554.5,918.5,1048.5,891.5,5642.5,5859.5,5995.5,6163.5,6078.5,5814.5,72.5,92.5,179.5,329.5,441.5,388.5,75.5,74.5,96.5,429.5,4501.5,6182.5,71.5,73.5,292.5,816.5,1047.5,812.5,97.5,7320.5,9136.5,8641.5,8046.5,8797.5,,,92.5,84.5,,,128.5,131.5,2779.5,2983.5
80,178.5,10275.5,12132.5,12910.5,12796.5,11884.5,105.5,3040.5,4741.5,4912.5,4720.5,4090.5,111.5,103.5,67.5,-5.5,27.5,7396.5,89.5,21.5,1079.5,1024.5,865.5,617.5,104.5,548.5,2014.5,4227.5,6005.5,6475.5,92.5,1625.5,3232.5,3220.5,3050.5,2473.5,332.5,9294.5,11533.5,12591.5,12877.5,12845.5,79.5,278.5,1328.5,1970.5,2010.5,1669.5,7040.5,7279.5,7724.5,8308.5,8285.5,8089.5,95.5,139.5,325.5,614.5,745.5,620.5,116.5,118.5,144.5,869.5,8045.5,10200.5,97.5,138.5,836.5,2005.5,2208.5,1615.5,145.5,9168.5,14575.5,13624.5,12501.5,13393.5,,,127.5,123.5,,,173.5,165.5,3836.5,4128.5
100,240.5,17745.5,18872.5,19074.5,18449.5,16828.5,138.5,6071.5,7731.5,7558.5,6838.5,5730.5,149.5,136.5,103.5,-4.5,49.5,11934.5,124.5,88.5,1911.5,1753.5,1383.5,918.5,136.5,824.5,2966.5,6019.5,8360.5,8960.5,128.5,3983.5,6212.5,6001.5,5367.5,4086.5,447.5,13239.5,16705.5,18039.5,18217.5,18065.5,101.5,579.5,2525.5,3407.5,3226.5,2573.5,8912.5,9388.5,10444.5,11736.5,11727.5,11327.5,130.5,209.5,524.5,940.5,1059.5,850.5,162.5,165.5,204.5,1212.5,12541.5,15800.5,130.5,259.5,1792.5,3844.5,3816.5,2686.5,218.5,9553.5,19618.5,20179.5,18583.5,19484.5,,,164.5,155.5,,,225.5,229.5,5227.5,5558.5
120,314.0,26289.0,26639.0,26137.0,25032.0,22716.0,181.0,9730.0,11221.0,10481.0,9129.0,7485.0,193.0,181.0,138.0,5.0,71.0,16070.0,170.0,304.0,2926.0,2660.0,2059.0,1315.0,189.0,1204.0,4308.0,8514.0,11471.0,12186.0,189.0,7017.0,9769.0,9368.0,8210.0,6094.0,543.0,16550.0,22217.0,24712.0,25294.0,25055.0,131.0,1088.0,4072.0,5110.0,4645.0,3612.0,11161.0,11926.0,13635.0,16238.0,16387.0,16040.0,172.0,304.0,806.0,1356.0,1473.0,1092.0,211.0,212.0,267.0,1490.0,17018.0,21686.0,176.0,540.0,3248.0,6272.0,5910.0,4012.0,287.0,9576.0,22761.0,27296.0,25525.0,26483.0,,,214.0,205.0,,,274.0,279.0,6223.0,6558.0
140,387.0,35094.0,35238.0,34051.0,32653.0,29696.0,233.0,14189.0,15534.0,13980.0,11780.0,9343.0,233.0,223.0,186.0,16.0,121.0,20708.0,218.0,868.0,4430.0,3948.0,2977.0,1841.0,228.0,1445.0,5109.0,10419.0,14953.0,16242.0,232.0,11280.0,14249.0,13330.0,11533.0,8553.0,650.0,19554.0,27592.0,31293.0,32535.0,32795.0,171.0,1978.0,6030.0,7025.0,6165.0,4646.0,13857.0,14974.0,17783.0,21691.0,21941.0,21375.0,214.0,461.0,1268.0,2032.0,2060.0,1424.0,254.0,266.0,320.0,1752.0,20799.0,28457.0,227.0,1106.0,5680.0,9469.0,8597.0,5721.0,348.0,9478.0,24006.0,35611.0,33002.0,34036.0,,,245.0,242.0,,,314.0,325.0,6926.0,7268.0
160,472.0,46040.0,44360.0,42433.0,40868.0,37248.0,281.0,19434.0,20451.0,18186.0,14950.0,11578.0,269.0,260.0,227.0,35.0,181.0,26638.0,268.0,1547.0,6005.0,5564.0,4255.0,2516.0,256.0,1607.0,5509.0,11263.0,16355.0,18444.0,282.0,16335.0,19798.0,18721.0,15795.0,11469.0,746.0,21966.0,33264.0,38887.0,40095.0,40438.0,203.0,3245.0,8384.0,9330.0,7914.0,5743.0,17164.0,18536.0,22849.0,28938.0,29001.0,28378.0,258.0,588.0,1724.0,2855.0,2892.0,1860.0,314.0,315.0,376.0,1954.0,23787.0,33869.0,266.0,1705.0,8737.0,13909.0,12501.0,7930.0,420.0,9301.0,24676.0,45215.0,41585.0,42383.0,,,285.0,276.0,,,366.0,367.0,7738.0,8132.0
180,538.5,57050.5,54369.5,51388.5,49750.5,45827.5,320.5,25738.5,24706.5,22743.5,18861.5,14177.5,306.5,289.5,270.5,42.5,270.5,34376.5,304.5,2477.5,7467.5,7258.5,5544.5,3289.5,295.5,1758.5,5863.5,11901.5,17278.5,19407.5,338.5,22561.5,26175.5,24732.5,21180.5,15083.5,829.5,24252.5,38070.5,45964.5,48874.5,49401.5,228.5,4603.5,10912.5,12010.5,9989.5,7010.5,21345.5,23221.5,28546.5,37233.5,37718.5,37033.5,288.5,689.5,2066.5,3646.5,3749.5,2406.5,359.5,351.5,427.5,2069.5,25839.5,37935.5,301.5,2161.5,11917.5,18747.5,16641.5,10813.5,475.5,9392.5,24927.5,55187.5,50991.5,51801.5,,,316.5,312.5,,,404.5,403.5,8551.5,8967.5
200,592.0,69778.0,64037.0,60884.0,58851.0,54514.0,372.0,31712.0,30335.0,26472.0,22205.0,17152.0,353.0,336.0,310.0,76.0,423.0,41328.0,349.0,3786.0,8767.0,8664.0,6745.0,4034.0,343.0,1859.0,6175.0,12351.0,17900.0,20073.0,390.0,29202.0,33236.0,31658.0,27371.0,19354.0,908.0,26012.0,42475.0,52509.0,57264.0,58791.0,261.0,5797.0,13885.0,15020.0,12368.0,8440.0,25755.0,28122.0,35771.0,46365.0,46854.0,46331.0,323.0,754.0,2288.0,4141.0,4520.0,2993.0,409.0,408.0,479.0,2161.0,26957.0,41232.0,346.0,2469.0,14844.0,23916.0,21184.0,14169.0,551.0,9404.0,24789.0,63119.0,61849.0,62311.0,,,359.0,347.0,,,452.0,441.0,9321.0,9785.0
220,638.5,81522.5,75240.5,70482.5,68626.5,63877.5,403.5,37008.5,35909.5,30859.5,25415.5,19427.5,390.5,367.5,342.5,182.5,649.5,47629.5,391.5,5127.5,9976.5,10095.5,7939.5,4686.5,372.5,1970.5,6398.5,12740.5,18425.5,20689.5,438.5,35756.5,40445.5,39301.5,34008.5,23822.5,960.5,27068.5,46166.5,58737.5,64835.5,67613.5,286.5,6625.5,17378.5,17311.5,15006.5,10086.5,30471.5,33554.5,43362.5,56565.5,56841.5,56692.5,365.5,816.5,2441.5,4471.5,5030.5,3568.5,440.5,446.5,525.5,2220.5,27673.5,43196.5,394.5,2671.5,17236.5,29185.5,25974.5,17737.5,612.5,9490.5,24799.5,68676.5,73892.5,73996.5,,,379.5,375.5,,,486.5,486.5,9980.5,10450.5
240,697.5,91504.5,86493.5,79849.5,78304.5,74013.5,447.5,42718.5,40886.5,34588.5,28576.5,21590.5,435.5,412.5,384.5,359.5,1055.5,52263.5,436.5,6386.5,11049.5,11484.5,9194.5,5429.5,420.5,2064.5,6629.5,13115.5,18819.5,21211.5,487.5,41648.5,46939.5,46207.5,40950.5,28821.5,1017.5,27777.5,49134.5,63791.5,71858.5,75840.5,321.5,7357.5,19890.5,20166.5,17023.5,11830.5,34452.5,38626.5,51656.5,68106.5,68050.5,68046.5,402.5,880.5,2585.5,4800.5,5489.5,3994.5,489.5,490.5,566.5,2256.5,27962.5,44723.5,429.5,2842.5,19298.5,34212.5,30741.5,21388.5,666.5,9492.5,24784.5,71959.5,86585.5,86470.5,,,421.5,416.5,,,532.5,531.5,10465.5,10933.5
260,753.0,99846.0,99122.0,89559.0,88064.0,83686.0,491.0,48139.0,45842.0,37327.0,31046.0,23343.0,485.0,459.0,426.0,707.0,2226.0,56299.0,493.0,7459.0,11980.0,12638.0,10496.0,6215.0,464.0,2146.0,6799.0,13465.0,19249.0,21730.0,539.0,46509.0,51646.0,51905.0,47571.0,34076.0,1074.0,28365.0,51355.0,68319.0,78436.0,83204.0,373.0,8163.0,21896.0,22677.0,19367.0,13664.0,38189.0,43168.0,59569.0,81711.0,80930.0,80976.0,445.0,961.0,2731.0,5050.0,5901.0,4380.0,547.0,543.0,611.0,2305.0,28204.0,45596.0,475.0,2981.0,21119.0,38926.0,35404.0,25395.0,722.0,9639.0,24982.0,75221.0,98783.0,98759.0,,,470.0,459.0,,,558.5,557.5,10941.5,11503.5
280,777.5,106827.5,111353.5,98780.5,97516.5,93428.5,517.5,53235.5,51285.5,39755.5,32987.5,24703.5,501.5,484.5,459.5,926.5,3670.5,59360.5,517.5,8408.5,12770.5,13736.5,11639.5,7016.5,498.5,2201.5,6910.5,13556.5,19433.5,21858.5,573.5,49801.5,54864.5,56212.5,53042.5,39147.5,1113.5,28563.5,52650.5,71659.5,83802.5,90113.5,408.5,8783.5,23951.5,24525.5,21344.5,14871.5,41199.5,47318.5,66372.5,95377.5,95309.5,95321.5,482.5,1002.5,2837.5,5276.5,6235.5,4750.5,576.5,580.5,649.5,2353.5,28262.5,46047.5,520.5,3054.5,22410.5,42848.5,39565.5,29263.5,775.5,9643.5,25170.5,77493.5,109436.5,109379.5,,,490.5,478.5,,,598.5,593.5,11319.5,11907.5
300,813.5,112839.5,123877.5,107226.5,107399.5,103330.5,558.5,57788.5,56622.5,42102.5,34838.5,25764.5,539.5,523.5,504.5,1164.5,6190.5,61419.5,546.5,9101.5,13156.5,14562.5,12566.5,7850.5,522.5,2257.5,7001.5,13698.5,19618.5,22049.5,614.5,51795.5,56776.5,58724.5,57355.5,43804.5,1150.5,28700.5,53671.5,74219.5,88278.5,95934.5,435.5,9203.5,26215.5,25868.5,22776.5,15974.5,43956.5,50530.5,72607.5,108698.5,109094.5,109338.5,513.5,1060.5,2928.5,5425.5,6499.5,5115.5,603.5,605.5,691.5,2390.5,28251.5,46092.5,552.5,3102.5,23348.5,46027.5,43165.5,33022.5,817.5,9715.5,25010.5,78787.5,118531.5,118742.5,,,513.5,514.5,,,612.0,614.0,11723.0,12339.0
320,845.5,117960.5,134792.5,116861.5,115297.5,111409.5,576.5,61629.5,62335.5,44820.5,36912.5,27032.5,561.5,542.5,521.5,1499.5,8428.5,62663.5,577.5,9673.5,13462.5,14904.5,13191.5,8654.5,548.5,2287.5,7051.5,13765.5,19672.5,22032.5,642.5,53326.5,57595.5,59745.5,59915.5,47731.5,1180.5,28805.5,54094.5,75751.5,91283.5,99959.5,462.5,9580.5,28779.5,27288.5,24125.5,16885.5,46047.5,53180.5,77482.5,120763.5,122222.5,122683.5,543.5,1082.5,2972.5,5520.5,6703.5,5426.5,628.5,630.5,707.5,2380.5,28059.5,46262.5,565.5,3118.5,23644.5,48565.5,46033.5,36280.5,851.5,9731.5,25043.5,80897.5,126440.5,126764.5,,,531.5,526.5,,,646.5,646.5,12093.5,12743.5
340,878.0,122218.0,144116.0,125653.0,124183.0,120915.0,609.0,64218.0,67710.0,47271.0,38744.0,28452.0,593.0,551.0,550.0,1814.0,11045.0,63933.0,602.0,10047.0,13607.0,15103.0,13388.0,9210.0,578.0,2301.0,7073.0,13807.0,19670.0,22016.0,658.0,54321.0,58303.0,60381.0,61544.0,50510.0,1206.0,28613.0,54104.0,76229.0,93928.0,102967.0,491.0,9803.0,31107.0,28704.0,25373.0,17698.0,47644.0,55295.0,81574.0,130765.0,133823.0,133792.0,565.0,1118.0,3019.0,5602.0,6893.0,5694.0,661.0,656.0,721.0,2400.0,27942.0,45803.0,598.0,3126.0,23919.0,50702.0,48601.0,39666.0,894.0,9701.0,24893.0,80874.0,132990.0,134097.0,,,556.0,551.0,,,676.0,670.0,12402.0,13011.0
360,908.0,125332.0,154239.0,134627.0,132940.0,130105.0,623.0,66221.0,73028.0,49960.0,40806.0,29898.0,610.0,584.0,581.0,2131.0,14508.0,64570.0,630.0,10279.0,13704.0,15297.0,13693.0,9555.0,597.0,2342.0,7081.0,13796.0,19606.0,21912.0,687.0,54926.0,58477.0,60635.0,62344.0,52333.0,1238.0,28617.0,54005.0,76279.0,94672.0,105148.0,503.0,9912.0,33504.0,29846.0,26651.0,18327.0,49160.0,56932.0,84913.0,138704.0,142849.0,143438.0,590.0,1136.0,3028.0,5601.0,6937.0,5891.0,690.0,670.0,755.0,2408.0,27606.0,45354.0,617.0,3151.0,24027.0,52001.0,49953.0,42334.0,925.0,9746.0,24628.0,81461.0,139704.0,140533.0,,,572.0,564.0,,,692.0,688.0,12617.0,13342.0
380,928.5,129390.5,163122.5,143669.5,142312.5,140407.5,644.5,68020.5,78587.5,52989.5,42909.5,31563.5,642.5,613.5,601.5,2304.5,18553.5,65025.5,651.5,10375.5,13873.5,15579.5,13933.5,9678.5,609.5,2335.5,7094.5,13856.5,19646.5,21933.5,716.5,55722.5,59035.5,60919.5,63140.5,53294.5,1247.5,28670.5,54115.5,76762.5,95658.5,107110.5,523.5,10093.5,35672.5,31334.5,27920.5,19118.5,50297.5,58461.5,88033.5,146689.5,152736.5,152752.5,603.5,1163.5,3041.5,5623.5,6995.5,6062.5,704.5,699.5,756.5,2434.5,27877.5,45623.5,641.5,3178.5,24352.5,52833.5,51006.5,44964.5,939.5,9756.5,24627.5,81877.5,145677.5,147021.5,,,592.5,588.5,,,722.0,706.0,12953.0,13606.0
400,946.5,132109.5,171498.5,152138.5,150387.5,149419.5,669.5,69544.5,83879.5,56031.5,45286.5,33319.5,648.5,627.5,617.5,2381.5,23575.5,64774.5,665.5,10392.5,14024.5,15775.5,14203.5,9886.5,632.5,2368.5,7137.5,13835.5,19681.5,22091.5,729.5,56465.5,59558.5,61387.5,63562.5,54223.5,1260.5,28481.5,54143.5,77172.5,96589.5,108391.5,546.5,10156.5,37401.5,32705.5,29472.5,19868.5,51433.5,59691.5,90143.5,152989.5,160780.5,160354.5,622.5,1171.5,3051.5,5643.5,7017.5,6194.5,718.5,708.5,769.5,2449.5,27662.5,45711.5,660.5,3216.5,24457.5,53885.5,52164.5,46667.5,954.5,9711.5,24866.5,81900.5,151534.5,152993.5,,,604.5,604.5,,,736.0,732.0,13195.0,14043.0
420,967.0,134174.0,179404.0,159927.0,159296.0,159057.0,682.0,70957.0,89057.0,59108.0,47390.0,35226.0,668.0,640.0,631.0,2447.0,28520.0,64825.0,679.0,10445.0,14273.0,16003.0,14557.0,10112.0,646.0,2376.0,7102.0,13767.0,19624.0,22086.0,738.0,57429.0,60537.0,61907.0,64023.0,54994.0,1287.0,28483.0,53935.0,77049.0,97209.0,109580.0,559.0,10077.0,38725.0,33769.0,30780.0,20623.0,52464.0,60648.0,92129.0,158430.0,167127.0,166231.0,635.0,1174.0,3059.0,5664.0,7048.0,6175.0,726.0,715.0,792.0,2450.0,27526.0,45505.0,667.0,3195.0,24555.0,54702.0,52991.0,47456.0,967.0,9697.0,24676.0,81436.0,156430.0,158210.0,,,620.0,616.0,,,759.5,741.5,13374.5,14222.5
440,998.5,136003.5,186238.5,167905.5,167689.5,168172.5,703.5,72316.5,93685.5,62254.5,49433.5,37171.5,697.5,662.5,665.5,2514.5,32239.5,65071.5,707.5,10553.5,14493.5,16333.5,14910.5,10408.5,671.5,2398.5,7144.5,13741.5,19499.5,22073.5,761.5,58533.5,60974.5,62365.5,65045.5,56199.5,1311.5,28439.5,53893.5,76576.5,96965.5,110734.5,585.5,10111.5,39702.5,34945.5,32172.5,21498.5,52956.5,61091.5,93927.5,163657.5,174067.5,172630.5,659.5,1195.5,3079.5,5683.5,7101.5,6274.5,754.5,736.5,809.5,2477.5,27458.5,45438.5,687.5,3237.5,24656.5,55677.5,53925.5,48334.5,986.5,9655.5,24584.5,81243.5,160955.5,162725.5,,,643.5,635.5,,,766.0,753.0,13455.0,14411.0
460,1009.0,137552.0,193476.0,175724.0,175952.0,176626.0,710.0,73830.0,98911.0,65436.0,51522.0,39083.0,686.0,659.0,659.0,2535.0,35034.0,65433.0,708.0,10550.0,14692.0,16556.0,15175.0,10664.0,680.0,2419.0,7183.0,13795.0,19394.0,21986.0,764.0,59364.0,61887.0,63201.0,65793.0,57507.0,1333.0,28533.0,53945.0,76518.0,96857.0,110438.0,593.0,10086.0,40634.0,36031.0,33472.0,22320.0,53532.0,61685.0,95030.0,169148.0,180274.0,178544.0,656.0,1191.0,3084.0,5684.0,7102.0,6295.0,761.0,745.0,819.0,2484.0,27425.0,45354.0,690.0,3224.0,24577.0,55906.0,54437.0,49201.0,1000.0,9682.0,24500.0,81615.0,165325.0,167777.0,,,651.0,642.0,,,779.5,768.5,13541.5,14568.5
480,1024.0,138588.0,198658.0,182183.0,182834.0,183778.0,737.0,75113.0,103305.0,68387.0,53313.0,40812.0,726.0,691.0,690.0,2567.0,36949.0,65639.0,725.0,10652.0,14876.0,16838.0,15383.0,10958.0,694.0,2409.0,7167.0,13815.0,19315.0,21874.0,801.0,60340.0,62666.0,63758.0,67020.0,58985.0,1330.0,28566.0,53639.0,75922.0,95791.0,110450.0,607.0,10089.0,41406.0,37047.0,34648.0,23355.0,54057.0,62191.0,95983.0,172973.0,185004.0,182889.0,683.0,1211.0,3094.0,5705.0,7098.0,6314.0,786.0,762.0,835.0,2501.0,27317.0,45151.0,718.0,3236.0,24702.0,56589.0,54840.0,49921.0,1018.0,9727.0,24547.0,81476.0,166029.0,169870.0,,,665.0,652.0,,,791.5,786.5,13635.5,14704.5
500,1038.5,139711.5,204584.5,188052.5,190667.5,191186.5,749.5,76582.5,107844.5,71709.5,54882.5,42668.5,727.5,691.5,701.5,2602.5,38167.5,65748.5,734.5,10693.5,15111.5,17088.5,15526.5,11270.5,706.5,2452.5,7190.5,13806.5,19231.5,21732.5,809.5,60972.5,62851.5,64125.5,67847.5,60338.5,1354.5,28582.5,53913.5,75684.5,95663.5,110253.5,623.5,10126.5,42251.5,38034.5,35809.5,24303.5,54740.5,62919.5,96592.5,176720.5,190836.5,187759.5,691.5,1225.5,3113.5,5728.5,7151.5,6371.5,797.5,768.5,849.5,2523.5,27398.5,44974.5,732.5,3248.5,24659.5,56882.5,55200.5,50846.5,1037.5,9721.5,24309.5,81485.5,166437.5,172026.5,,,687.5,673.5,,,811.0,800.0,13789.0,14903.0
520,1066.0,140869.0,209347.0,193663.0,197270.0,197593.0,759.0,77960.0,112310.0,75084.0,56706.0,44372.0,740.0,704.0,704.0,2588.0,38832.0,65944.0,749.0,10734.0,15260.0,17390.0,15715.0,11495.0,716.0,2460.0,7261.0,13895.0,19284.0,21653.0,815.0,61433.0,63089.0,64405.0,68548.0,61779.0,1370.0,28697.0,53534.0,75221.0,95202.0,109891.0,630.0,10116.0,43034.0,39073.0,36928.0,25200.0,55572.0,63491.0,97367.0,180098.0,195129.0,192369.0,699.0,1225.0,3110.0,5734.0,7157.0,6384.0,813.0,795.0,857.0,2543.0,27308.0,45054.0,741.0,3269.0,24614.0,57061.0,55757.0,51358.0,1061.0,9747.0,24380.0,81169.0,167443.0,174538.0,,,692.0,676.0,,,822.0,810.0,13904.0,15072.0
540,1077.5,142227.5,212283.5,198572.5,204249.5,202748.5,762.5,79227.5,115838.5,78150.5,58136.5,46093.5,759.5,717.5,720.5,2629.5,39342.5,66130.5,757.5,10799.5,15445.5,17651.5,15859.5,11795.5,736.5,2486.5,7311.5,13995.5,19292.5,21874.5,833.5,62238.5,63685.5,64811.5,69385.5,63237.5,1394.5,28863.5,53741.5,75176.5,95177.5,109889.5,642.5,10173.5,43652.5,39996.5,37900.5,26066.5,56205.5,64063.5,98306.5,184755.5,200172.5,195603.5,711.5,1239.5,3136.5,5785.5,7191.5,6448.5,819.5,804.5,873.5,2556.5,27354.5,44687.5,759.5,3261.5,24676.5,57293.5,55790.5,51744.5,1068.5,9748.5,24233.5,80811.5,169162.5,177531.5,,,699.5,691.5,,,832.0,814.0,13979.0,15274.0
560,1100.0,143162.0,214663.0,202946.0,209212.0,208655.0,775.0,80419.0,119334.0,81058.0,59721.0,47394.0,773.0,724.0,714.0,2640.0,39366.0,66312.0,772.0,10862.0,15485.0,17919.0,15909.0,12003.0,737.0,2465.0,7325.0,14001.0,19289.0,21785.0,852.0,62639.0,63843.0,65161.0,69864.0,64582.0,1402.0,28926.0,53843.0,75159.0,94663.0,109634.0,660.0,10181.0,44403.0,40734.0,38857.0,26679.0,56867.0,64776.0,99239.0,186445.0,205230.0,200456.0,727.0,1252.0,3133.0,5767.0,7189.0,6443.0,839.0,810.0,891.0,2579.0,27484.0,44718.0,763.0,3283.0,24748.0,57560.0,55872.0,52254.0,1087.0,9762.0,24265.0,80706.0,170174.0,180144.0,,,708.0,700.0,,,842.5,833.5,14041.5,15379.5
580,1114.0,143138.0,217302.0,207098.0,214599.0,212736.0,792.0,81655.0,122763.0,84636.0,61161.0,48957.0,777.0,728.0,731.0,2653.0,39393.0,66550.0,783.0,10843.0,15703.0,18121.0,16049.0,12216.0,754.0,2498.0,7367.0,14027.0,19353.0,21823.0,859.0,62896.0,64165.0,65031.0,70455.0,65526.0,1419.0,29059.0,53938.0,74901.0,94731.0,108546.0,660.0,10142.0,45068.0,41362.0,39374.0,27562.0,57668.0,65485.0,100001.0,188347.0,209564.0,204006.0,740.0,1264.0,3148.0,5812.0,7209.0,6456.0,848.0,817.0,898.0,2577.0,27541.0,44722.0,769.0,3295.0,24717.0,57770.0,56470.0,52357.0,1096.0,9752.0,24186.0,80472.0,171411.0,183266.0,,,716.0,708.0,,,857.0,844.0,14111.0,15403.0
600,1127.0,143405.0,218001.0,210515.0,219245.0,215925.0,812.0,82528.0,126279.0,87997.0,62320.0,50294.0,794.0,744.0,749.0,2671.0,39351.0,66610.0,796.0,10804.0,15722.0,18277.0,16153.0,12369.0,773.0,2507.0,7360.0,13983.0,19397.0,21723.0,874.0,63819.0,64095.0,65259.0,70913.0,66727.0,1433.0,28935.0,53866.0,74550.0,94364.0,108150.0,684.0,10191.0,45566.0,41953.0,40257.0,28097.0,58282.0,65847.0,100423.0,190167.0,211909.0,207230.0,749.0,1258.0,3177.0,5831.0,7243.0,6509.0,867.0,839.0,913.0,2603.0,27622.0,44692.0,784.0,3331.0,24827.0,58350.0,56750.0,52788.0,1099.0,9747.0,24220.0,79751.0,172755.0,186897.0,,,736.0,730.0,,,874.0,862.0,14280.0,15484.0
620,1141.0,143799.0,219378.0,213103.0,223186.0,218634.0,812.0,83527.0,128776.0,91122.0,63702.0,51569.0,810.0,755.0,759.0,2676.0,39498.0,66756.0,798.0,10817.0,15862.0,18492.0,16141.0,12555.0,776.0,2519.0,7413.0,14051.0,19327.0,21698.0,887.0,64451.0,64302.0,65391.0,71579.0,67680.0,1430.0,28929.0,53831.0,74281.0,93720.0,107821.0,685.0,10206.0,46140.0,42442.0,40518.0,28592.0,58513.0,66173.0,101043.0,190877.0,213761.0,207984.0,748.0,1261.0,3166.0,5864.0,7241.0,6487.0,864.0,845.0,916.0,2602.0,27419.0,44381.0,793.0,3301.0,24749.0,58043.0,56453.0,52893.0,1110.0,9694.0,24055.0,79057.0,172362.0,188016.0,,,741.0,731.0,,,876.0,862.0,14241.0,15663.0
