3e34SspGyrB,2e34SspGyrB,8e34SspGyrB,0e34SspGyrB,8e34SspGyrB,5e34SspGyrB,6e34SspGyrB,4e34SspGyrB,1e34SspGyrB
0.319765384,0.128042031,6.124142582,1.276593925,0.885479877,393.0458818,0.493484555,2.08066486,0.88903514
1.407903371,0.623829724,3.52590237,64.31375802,1.125373867,0.28965499,0.416992303,0.877823496,78.06601826
0.496017136,0.587684286,26.13383664,39.92935798,11.25935269,262.6194308,0.237717029,1.360346311,148.1879177
0.539066846,1.634582467,1.092423538,0.349092747,7.00674024,0.843610641,0.335627313,0.447076935,1.311099861
9711.309086,5213.746729,5660.511057,4032.088213,3832.680964,4059.205436,3750.945411,3516.789151,3510.690492
0.22594237,0.116365352,0.127252723,0.08730123,0.082442776,0.088451466,0.080219238,0.074334188,0.074407904
61.76806819,121.7954568,409.9786013,35.16391347,160.9121537,486.7075037,89.25974425,225.9603455,16.6590782
